file_path,hex_count,inline_style_count,sample_snippets,remediation_priority
"components/student/ConsentGate.tsx",4,0,"className=""underline hover:text-[#534AB7] dark:hover:text-indigo-400"" | className=""w-full rounded-lg bg-[#534AB7] px-4 py-3 text-sm font-semibold text-white | dark:bg-[#534AB7] dark:hover:bg-indigo-400""","medium"
"components/student/dashboard/FreemiumCounter.tsx",12,1,"sessionsRemaining === 1 ? 'bg-[#BA7517]' : 'bg-[#534AB7]'; | className=""mb-5 rounded-xl border border-[#534AB7]/20 bg-[#EEEDFE] dark:bg-[#534AB7]/10 px-4 py-3"" | <p className=""text-xs font-semibold text-[#534AB7] dark:text-indigo-300 uppercase tracking-wide"">","high"
"components/student/dashboard/RevisionWidget.tsx",9,1,"pct < 50 ? 'bg-[#E24B4A]' : pct <= 80 ? 'bg-[#BA7517]' : 'bg-[#1D9E75]' | ? 'text-[#E24B4A] dark:text-red-400' | ? 'text-[#BA7517] dark:text-amber-400'","medium"
"components/student/dashboard/SecondaryStartOptions.tsx",2,0,"className=""inline-flex items-center justify-center px-4 py-2 min-h-[44px] rounded-xl bg-[#534AB7] text-white text-sm font-medium hover:bg-[#4840a3] disabled:opacity-60""","low"
"components/student/dashboard/StreakWidget.tsx",8,0,"className=""text-sm font-semibold text-[#534AB7] min-h-[44px] min-w-[44px] px-4"" | ? 'bg-gray-100 dark:bg-gray-800 ring-2 ring-[#1D9E75] ring-offset-1 ring-offset-white dark:ring-offset-gray-900' | className=""block text-center text-sm font-semibold text-white bg-[#534AB7] rounded-xl py-3 min-h-[44px] flex items-center justify-center""","medium"
"components/student/dashboard/SubjectReadinessCard.tsx",18,0,"border: 'border-[#E24B4A]', | bar: 'bg-[#E24B4A]', | border: 'border-[#BA7517]',","high"
"components/student/dashboard/TodaysLearningCard.tsx",40,0,"*   - Purple left border accent: border-l-4 border-[#534AB7] | <article className=""rounded-2xl border border-gray-200 dark:border-slate-700 bg-white dark:bg-slate-800 border-l-4 border-l-[#534AB7] overflow-hidden shadow-sm""> | <span className=""inline-flex items-center rounded-full bg-[#534AB7]/10 dark:bg-[#534AB7]/20 px-3 py-1 text-xs font-semibold text-[#534AB7] dark:text-indigo-300"">","high"
"components/student/dashboard/WeeklyStudyStrip.tsx",5,0,"*   - Filled purple (#534AB7) = session completed that day | ? 'bg-[#534AB7]' | ? 'bg-gray-100 dark:bg-slate-700 ring-2 ring-[#1D9E75]'","medium"
"components/student/dashboard/XPWidget.tsx",9,1,"<span className=""inline-flex items-center px-2.5 py-1 rounded-lg bg-[#534AB7]/10 dark:bg-[#534AB7]/20 text-[#534AB7] dark:text-indigo-300 text-xs font-bold tracking-wide""> | className=""h-full rounded-full bg-[#534AB7] dark:bg-[#534AB7] transition-all duration-300"" | className=""flex items-center gap-1 bg-[#534AB7]/10 dark:bg-[#534AB7]/20 rounded-full px-2 py-0.5""","medium"
"components/student/diagnostic/DiagnosticFlow.tsx",54,1,"return { label: 'Strong', colorClass: 'bg-[#EAF3DE] text-[#1D9E75]' }; | return { label: 'Partial', colorClass: 'bg-[#FAEEDA] text-[#BA7517]' }; | return { label: 'Needs work', colorClass: 'bg-[#FCEBEB] text-[#E24B4A]' };","high"
"components/student/diagnostic/DiagnosticWaitingScreen.tsx",14,0,"<div className=""w-16 h-16 rounded-2xl bg-[#EEEDFE] dark:bg-[#534AB7]/20 flex items-center justify-center mx-auto mb-5""> | stroke=""#534AB7"" | <p className=""text-xs text-[#E24B4A] dark:text-red-400 mb-6"">","high"
